Category,Title,Summary,Rating,Make it again,URL
recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.",4,100%,https://www.epicurious.com/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad
recipe,Lemon Salmon with Creamy Cucumber Salad,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing.",2.5,60%,https://www.epicurious.com/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad
recipe,Smashed Cucumber Salad with Hot Vinegar,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered.",0,0%,https://www.epicurious.com/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar
recipe,Sam's Spring Fattoush Salad,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.,4,100%,https://www.epicurious.com/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad
article,Everything You Don't Know About Electric Knives,The history isn't pretty.,N/A,N/A,https://www.epicurious.com/expert-advice/how-to-handle-electric-knife-article
recipe,Skirt Steak with Spicy Coconut Dressing,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.,4,100%,https://www.epicurious.com/recipes/food/views/skirt-steak-with-spicy-coconut-dressing
article,Weekly Meal Plan: March 11–15,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night.",N/A,N/A,https://www.epicurious.com/expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article
recipe,Mango Toast with Hazelnut-Pepita Butter,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",0,0%,https://www.epicurious.com/recipes/food/views/mango-toast-with-hazelnut-pepita-butter
article,Weekly Meal Plan: April 8–12,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article
article,"Turn Veggies into Dinner with One of These ""Sauces""",They're the secret to our food editor's favorite quick and easy weeknight dinners.,N/A,N/A,https://www.epicurious.com/expert-advice/high-protein-sauces-for-vegetables-article
article,Weekly Meal Plan: September 3–7,Featuring sheet-pan chicken and so. many. cherry tomatoes.,N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-sept-3-7-2018-article
article,This Chilled Cucumber-Avocado Soup Is the Easiest Summer Dinner I Know,It's cool yet spicy. Elegant yet easy. And perfect for warm-weather get-togethers.,N/A,N/A,https://www.epicurious.com/recipes-menus/this-chilled-cucumber-avocado-soup-is-the-easiest-summer-meal-i-know-article
article,"The Fastest Way to ""Hard-Boil"" a Huge Batch of Eggs Is to Steam Them",Stick with me here.,N/A,N/A,https://www.epicurious.com/expert-advice/the-fastest-way-to-hard-boil-a-huge-batch-of-eggs-article
recipe,Quick-Pickled Charred Vegetables,This technique is nothing short of amazing—even if you're finicky about your pickles.,4,100%,https://www.epicurious.com/recipes/food/views/quick-pickled-charred-grilled-vegetables
recipe,Green Beans and Cucumbers with Miso Dressing,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",3.5,88%,https://www.epicurious.com/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing
article,Weekly Meal Plan: January 28–February 1,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article
article,"Watch Out Zester, We're Reaching for a New Microplane Tool",Meet the ginger grater.,N/A,N/A,https://www.epicurious.com/expert-advice/microplane-ginger-grater-article
article,Weekly Meal Plan: August 27–31,"Grill-ahead dinners, hummus bowls, and an old-fashioned Tex-Mex taco night.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-grill-ahead-dinners-and-easy-hummus-bowls-article
article,Weekly Meal Plan: April 15–19,It's so good you'll forget it's Tax Week.,N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article
article,Weekly Meal Plan: May 13–17,"Herby shrimp, gingery chicken soup, and cheesesteak calzones.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-herby-shrimp-gingery-chicken-soup-and-cheesesteak-calzones-article
article,Weekly Meal Plan: March 25–29,"Big-batch spiced pork, crunchy chicken, and four-ingredient chickpea flatbreads.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-big-batch-spiced-pork-crunchy-chicken-and-burst-tomato-sauce-article
article,Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy.",N/A,N/A,https://www.epicurious.com/ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article
article,Store Cucumbers Like a Pro,Soggy spoiled cucumbers are sad: avoid them forever by learning how to store cucumbers the right way.,N/A,N/A,https://www.epicurious.com/ingredients/how-to-store-cucumbers-article
article,This Soy Sauce is Better Than Anything You've Had from the Grocery Store,It's imported from Japan—and available on Amazon.,N/A,N/A,https://www.epicurious.com/expert-advice/this-is-the-best-soy-sauce-article
article,Weekly Meal Plan: January 14–18,"Citrus shrimp, slow-cooker pork shoulder, and breakfast for dinner.",N/A,N/A,https://www.epicurious.com/recipes-menus/weekly-meal-plan-citrus-shrimp-slow-cooker-pork-shoulder-and-breakfast-for-dinner-article
